stmt_ref,booking_date,tx_val,description,ext_memo,unit
B1169,11/07/25,₹ 783.00,APPLESTORE POS-TRANS,8Q2ZO4LQ69,INR
B1170,28/10/2025,"₹ 15,015.00",MAKEMYTRIP POS-TRANS,853CGHEA0C,INR
B1171,11-Oct-2025,₹ 191.00,NETFLIX/ONLINE,2JJNJG4XQJ,INR
B1172,11/01/25,"₹ 5,000.00",GOOGLE PLAY INDIA *0912,H3I6SAUYIB,INR
B1173,14-Nov-2025,₹ 792.00,UBER_LTD,,INR
B1174,26-Nov-2025,"₹ 5,017.00",GOOGLE PLAY POS-TRANS,GDMAYDU8GT,INR
B1175,10/23/25,₹ 492.00,SWIGGY/ONLINE,VMCQLO3Y02,INR
B1176,07-Nov-2025,"₹ 15,011.00",MAKEMYTRIP INDIA/ONLINE,ANYJ2UZV9A,INR
B1177,2025.10.10,₹ 815.00,UBER INDIA_LTD,VHUTA7PU4M,INR
B1178,31-Oct-2025,"₹ 1,513.00",BOOKMYSHOW POS-TRANS,A92MV9GV3S,INR
B1179,06-Nov-2025,₹ 205.00,APPLE STORE CORP,39N8ZOHZ9G,INR
B1180,05-Nov-2025,"₹ 1,490.00",AIR INDIA *0912,,INR
B1181,24/11/2025,"₹ 5,004.00",NETFLIX_LTD,,INR
B1182,10/06/25,₹ 814.00,OLA POS-TRANS,1NY4E5LT81,INR
B1183,2025.10.16,₹ 991.00,SPOTIFY CORP,,INR
B1184,10/31/25,₹ 293.00,BIGBASKET *0912,SFERG9VB61,INR
B1185,2025.10.03,₹ 195.00,BOOKMYSHOW CORP,OM5VKCTZWR,INR
B1186,01-Nov-2025,"₹ 5,000.00",BIGBASKET CORP,4HVA5QLXOD,INR
B1187,2025.11.25,"₹ 10,016.00",AMAZONINDIA POS-TRANS,67EHU0ZXBG,INR
B1188,2025.11.04,"₹ 4,989.00",MAKEMYTRIP INDIA *0912,3E6S1RQPYZ,INR
B1189,2025.10.18,"₹ 9,993.00",BOOKMYSHOW-INC,NIMH4BSNR3,INR
B1190,29/11/2025,₹ 991.00,SWIGGY CORP,I3YF161Q5M,INR
B1191,05/10/2025,₹ 293.00,RELIANCE MART INDIA_LTD,DZMQ3Z8ZV9,INR
B1192,2025.10.20,"₹ 2,499.00",DMART CORP,WTC2VY2DXI,INR
B1193,10/14/25,₹ 979.00,AMAZON INDIA INDIA POS-TRANS,IPD2NIY03X,INR
B1194,03/10/2025,₹ 490.00,DMART/ONLINE,L8S1WWOP5C,INR
B1195,10/26/25,"₹ 24,987.00",NETFLIX CORP,,INR
B1196,10/02/25,"₹ 9,989.00",DMART_LTD,2YX4S19Y9Z,INR
B1197,05-Nov-2025,"₹ 15,021.00",AIR INDIA INDIA/ONLINE,RNW88H9Y4G,INR
B1198,12/01/25,₹ 278.00,DMART-INC,VF8Z2SV7XG,INR
B1199,2025.10.07,₹ 184.00,SWIGGY INDIA-INC,653ZQE7IYK,INR
B1200,2025.10.10,"₹ 25,009.00",ZOMATO POS-TRANS,MQFHR8RMN5,INR
B1201,20/10/2025,"₹ 1,511.00",UBER/ONLINE,MYS9ZZSK0W,INR
B1202,2025.10.25,"₹ 14,995.00",IRCTC INDIA *0912,2NTVCUJP91,INR
B1203,31/10/2025,"₹ 4,983.00",AMAZON INDIA INDIA/ONLINE,2X8P55IPN8,INR
B1204,28-Nov-2025,₹ 171.00,GOOGLE PLAY-INC,QHV4UABKYC,INR
B1205,29-Oct-2025,"₹ 4,989.00",SPOTIFY POS-TRANS,LSODUJ8Y3V,INR
B1206,2025.10.15,"₹ 2,500.00",NETFLIX/ONLINE,K3F5AKA3UA,INR
B1207,06-Oct-2025,"₹ 9,992.00",BIGBASKET/ONLINE,,INR
B1208,29-Nov-2025,₹ 812.00,ZOMATO-INC,,INR
B1209,11/26/25,"₹ 2,523.00",ZOMATO *0912,FXHVHI71PU,INR
B1210,23/11/2025,₹ 289.00,INDIGO_LTD,3HYWHUXPF5,INR
B1211,10/06/25,₹ 477.00,FLIPKART INDIA *0912,I7UH0HFUZ8,INR
B1212,16/10/2025,"₹ 1,491.00",SPOTIFY/ONLINE,7LLR28W5QK,INR
B1213,07/11/2025,"₹ 2,503.00",AMAZONINDIA_LTD,KPXOW3JCQG,INR
B1214,21-Nov-2025,"₹ 4,991.00",INDIGO *0912,J7M1BZI9L4,INR
B1215,12/01/25,₹ 500.00,AMAZON INDIA INDIA POS-TRANS,63VFZ5QMIC,INR
B1216,11/08/25,₹ 290.00,APPLE STORE INDIA_LTD,XF1OOGX7XB,INR
B1217,12/10/2025,"₹ 1,510.00",FLIPKART INDIA *0912,0SWRGBSD30,INR
B1218,11/06/25,"₹ 2,494.00",FLIPKART POS-TRANS,90XJCZD6M1,INR
B1219,10/20/25,₹ 299.00,SWIGGY/ONLINE,,INR
B1220,2025.10.16,"₹ 15,015.00",BIGBASKET *0912,7ZVJ7PDA6P,INR
B1221,11/28/25,₹ 507.00,AMAZON-INC,4NFY10J97F,INR
B1222,11/11/2025,"₹ 2,476.00",MAKEMYTRIP/ONLINE,87GFXF65WK,INR
B1223,05/10/2025,"₹ 9,990.00",DMART CORP,YG3BXCEIQD,INR
B1224,10/04/25,₹ 509.00,ZOMATO_LTD,MDDB51NLKQ,INR
B1225,10/02/25,"₹ 1,489.00",IRCTC CORP,,INR
B1226,16/11/2025,"₹ 2,498.00",ZOMATO-INC,,INR
B1227,17-Oct-2025,₹ 220.00,BOOKMYSHOW POS-TRANS,49D2L9G0K8,INR
B1228,10/06/25,₹ 490.00,AIR.INDIA-INC,BTPELB5EWN,INR
B1229,18/10/2025,₹ 775.00,RELIANCE.MART/ONLINE,,INR
B1230,16-Oct-2025,"₹ 9,992.00",SPOTIFY *0912,KO3LZIZFXF,INR
B1231,2025.10.16,₹ 807.00,APPLESTORE *0912,F8FSOSTORG,INR
B1232,23/10/2025,"₹ 4,996.00",IRCTC *0912,OYTNB4R27D,INR
B1233,2025.11.13,"₹ 4,996.00",INDIGO POS-TRANS,LWL4I21BKF,INR
B1234,2025.11.03,₹ 485.00,UBER_LTD,,INR
B1235,2025.10.22,"₹ 1,503.00",AIR.INDIA/ONLINE,5EOXW68NYT,INR
B1236,11/17/25,"₹ 10,005.00",OLA *0912,4Z9DUL8P1K,INR
B1237,17/10/2025,₹ 218.00,MYNTRA CORP,1Q6GNN84F8,INR
B1238,10/08/25,₹ 322.00,APPLE-INC,,INR
B1239,2025.11.01,₹ 497.00,BIGBASKET CORP,1NXRKUQURF,INR
B1240,16/10/2025,"₹ 9,999.00",AMAZON.INDIA POS-TRANS,C8EIOYRYXM,INR
B1241,11/01/25,"₹ 9,991.00",APPLE/ONLINE,21J8H9KQBO,INR
B1242,2025.10.10,"₹ 25,022.00",APPLE.STORE-INC,3O0F04GETK,INR
B1243,11/10/25,"₹ 10,008.00",PAYTM-INC,3TYR5O2AFN,INR
B1244,2025.10.27,"₹ 14,996.00",OLA-INC,1KPEGJCNV2,INR
B1245,11/14/25,"₹ 14,984.00",FLIPKART-INC,01IER9PH20,INR
B1246,10/07/25,"₹ 9,994.00",INDIGO INDIA *0912,UCOFR5VYBJ,INR
B1247,2025.10.22,"₹ 14,988.00",GOOGLE PLAY_LTD,0LTYZG7K90,INR
B1248,2025.11.22,₹ 511.00,IRCTC INDIA-INC,,INR
B1249,2025.11.24,"₹ 14,989.00",ZOMATO/ONLINE,Y4KJTSDO9U,INR
B1250,20-Oct-2025,"₹ 1,497.00",FLIPKART_LTD,R5BDGXT41G,INR
B1251,11-Nov-2025,"₹ 1,519.00",UBER POS-TRANS,UHDC7PJG0Q,INR
B1252,05/10/2025,₹ 781.00,AIR INDIA INDIA CORP,D6I3P8YKMC,INR
B1253,11/28/25,"₹ 4,983.00",DMART POS-TRANS,UMGEYMI2H1,INR
B1254,31/10/2025,"₹ 9,995.00",INDIGO/ONLINE,9CGQ4IWJ5N,INR
B1255,27-Nov-2025,"₹ 2,490.00",SPOTIFY-INC,AZQ69RX5AO,INR
B1256,29/11/2025,"₹ 10,017.00",ZOMATO CORP,PTJ8C4QU7U,INR
B1257,10/29/25,"₹ 2,517.00",FLIPKART/ONLINE,2BE9ZYQ59J,INR
B1258,04/10/2025,"₹ 24,980.00",ZOMATO INDIA *0912,WPKLUKZKKS,INR
B1259,26/11/2025,"₹ 2,510.00",AMAZON POS-TRANS,S7YSPFQGZ8,INR
B1260,2025.10.13,"₹ 2,519.00",BIGBASKET/ONLINE,TSHN3WKGKC,INR
B1261,10-Nov-2025,"₹ 2,491.00",INDIGO POS-TRANS,OVS4OT28WZ,INR
B1262,10/20/25,"₹ 10,015.00",MYNTRA INDIA-INC,5U11CKXOBQ,INR
B1263,01/11/2025,"₹ 2,483.00",BOOKMYSHOW_LTD,B1MGCPW8RS,INR
B1264,10/27/25,"₹ 5,028.00",FLIPKART/ONLINE,FY2LH6LHD6,INR
B1265,27/11/2025,"₹ 24,970.00",BIGBASKET CORP,7BIC19RMEI,INR
B1266,15/10/2025,"₹ 15,008.00",ZOMATO/ONLINE,PEA6491WFY,INR
B1267,10/10/2025,"₹ 15,008.00",ZOMATO CORP,1RHECV1EXY,INR
B1268,25/10/2025,"₹ 9,976.00",UBER *0912,MYNJ9ZXTH6,INR
B1269,11/15/25,"₹ 15,003.00",GOOGLE PLAY CORP,NHIJZCB69N,INR
B1270,10/29/25,"₹ 25,010.00",BIGBASKET/ONLINE,QS38VR13B5,INR
B1271,2025.11.02,₹ 325.00,AIR INDIA INDIA CORP,ZZH7UMNZ3E,INR
B1272,2025.11.15,"₹ 10,011.00",IRCTC_LTD,N30FFLX8NH,INR
B1273,09/10/2025,"₹ 24,987.00",AIR INDIA POS-TRANS,,INR
B1274,2025.10.25,"₹ 5,007.00",PAYTMMALL_LTD,KB0T27TDJU,INR
B1275,11/20/25,₹ 205.00,GOOGLEPLAY_LTD,J7HS7RHY4K,INR
B1276,2025.11.27,"₹ 25,008.00",SWIGGY_LTD,2N8LGOR43N,INR
B1277,10/14/25,"₹ 25,001.00",SPOTIFY_LTD,T53POXN49E,INR
B1278,2025.11.11,₹ 792.00,AMAZON.INDIA *0912,BB12A63WYI,INR
B1279,2025.11.27,"₹ 24,997.00",SPOTIFY *0912,5N3IQ2PIHM,INR
B1280,11/23/25,₹ 988.00,FLIPKART/ONLINE,8P64G9M8V9,INR
B1281,2025.11.07,"₹ 2,520.00",SPOTIFY-INC,2DAN902DCU,INR
B1282,2025.10.27,"₹ 14,986.00",PAYTMMALL CORP,7IY6HPREVG,INR
B1283,28-Nov-2025,"₹ 9,993.00",MYNTRA CORP,IC82YZXX5Y,INR
B1284,10/12/25,"₹ 5,017.00",INDIGO/ONLINE,ORITTSTMVG,INR
B1285,2025.11.24,"₹ 1,498.00",UBER CORP,,INR
B1286,30/10/2025,"₹ 25,022.00",SWIGGY/ONLINE,X396IQ6KHW,INR
B1287,2025.10.08,"₹ 14,995.00",DMART-INC,,INR
B1288,23-Oct-2025,₹ 199.00,FLIPKART POS-TRANS,P3F6QU744L,INR
B1289,04-Nov-2025,"₹ 24,989.00",NETFLIX INDIA POS-TRANS,9ISG07K2H6,INR
B1290,2025.10.05,₹ 493.00,UBER *0912,YOINZ2RLKH,INR
B1291,22/11/2025,"₹ 25,006.00",BIGBASKET POS-TRANS,C469XI41PQ,INR
B1292,2025.10.26,₹ 517.00,GOOGLE PLAY-INC,WETHBLANCQ,INR
B1293,10/04/25,"₹ 5,001.00",PAYTM/ONLINE,821PX9XGNK,INR
B1294,2025.11.15,₹ 986.00,APPLE.STORE/ONLINE,3M0VJCVLUE,INR
B1295,10/04/25,₹ 292.00,AIRINDIA *0912,0T5INB38VT,INR
B1296,22/10/2025,₹ 296.00,BIGBASKET-INC,,INR
B1297,10/02/25,"₹ 10,015.00",MAKEMYTRIP/ONLINE,1C5RIK2VP2,INR
B1298,18-Oct-2025,"₹ 14,981.00",FLIPKART INDIA POS-TRANS,QMMC6BKYIT,INR
B1299,10/06/25,"₹ 14,999.00",MYNTRA/ONLINE,86EQWIARW3,INR
B1300,22/10/2025,₹ 285.00,MAKEMYTRIP-INC,E6O6MZVFUS,INR
B1301,29/11/2025,"₹ 2,500.00",SPOTIFY INDIA_LTD,HBXQ63YMNZ,INR
B1302,2025.11.16,"₹ 2,525.00",APPLESTORE CORP,UOEZEZ01XZ,INR
B1303,2025.11.09,₹ 782.00,SWIGGY POS-TRANS,U88F7YORMU,INR
B1304,14-Oct-2025,₹ 219.00,DMART/ONLINE,CA50DV4C8E,INR
B1305,10/07/25,"₹ 1,491.00",DMART_LTD,MRRUMJTMIJ,INR
B1306,10/24/25,₹ 197.00,AMAZON.INDIA_LTD,86PMD4MCNM,INR
B1307,26/11/2025,"₹ 2,490.00",FLIPKART CORP,,INR
B1308,07-Nov-2025,₹ 991.00,OLA *0912,OMZGEGPJLM,INR
B1309,2025.10.05,"₹ 1,491.00",MYNTRA INDIA-INC,DA0OUVDVYV,INR
B1310,23-Nov-2025,₹ 183.00,BIGBASKET POS-TRANS,OAFOPG8L2F,INR
B1311,13/10/2025,"₹ 24,996.00",MYNTRA CORP,RVIJ6WN7D1,INR
B1312,2025.10.04,"₹ 15,003.00",APPLE_LTD,RC85APLCP5,INR
B1313,27/10/2025,"₹ 4,999.00",IRCTC INDIA POS-TRANS,FEXUT8E0HA,INR
B1314,21/11/2025,₹ 211.00,OLA *0912,3YMUS70AD4,INR
B1315,04/10/2025,₹ 502.00,MYNTRA CORP,S64BE5DXX9,INR
B1316,29/10/2025,"₹ 1,513.00",AMAZON INDIA *0912,B1PQ4O4JLZ,INR
B1317,2025.11.22,"₹ 4,990.00",DMART POS-TRANS,IDRU0CQS11,INR
B1318,2025.10.04,"₹ 1,491.00",IRCTC CORP,ZENFQXL0UW,INR
B1319,22/11/2025,"₹ 15,015.00",BIGBASKET INDIA/ONLINE,ACKOR1FOY0,INR
B1320,10/23/25,₹ 278.00,IRCTC/ONLINE,L1R2AZL2KM,INR
B1321,07/11/2025,"₹ 5,017.00",IRCTC POS-TRANS,LCC3N8YE7B,INR
B1322,01/11/2025,₹ 283.00,BIGBASKET_LTD,KOLC6HFMFJ,INR
B1323,10/28/25,₹ 489.00,INDIGO *0912,XU6RH8PF08,INR
B1324,02-Nov-2025,₹ 297.00,AIR INDIA-INC,TULOP64H67,INR
B1325,03-Oct-2025,₹ 509.00,AIR INDIA POS-TRANS,WTEQ2SYDSM,INR
B1326,12/11/2025,"₹ 15,011.00",MAKEMYTRIP-INC,ZLBY30P3P7,INR
B1327,09/11/2025,₹ 986.00,UBER POS-TRANS,SEBDOGA8L6,INR
B1328,30-Oct-2025,"₹ 15,024.00",PAYTMMALL *0912,7LHA5LW6JR,INR
B1329,29/10/2025,"₹ 14,997.00",AMAZON.INDIA-INC,NQWBHZQ47N,INR
B1330,14-Nov-2025,"₹ 2,493.00",RELIANCE MART-INC,WJT0XCOBRP,INR
B1331,25/11/2025,"₹ 1,491.00",RELIANCE.MART-INC,W7VYHDEKMP,INR
B1332,11/27/25,"₹ 1,508.00",AMAZON INDIA POS-TRANS,JEL61OFGJA,INR
B1333,12/11/2025,"₹ 10,008.00",DMART INDIA-INC,,INR
B1334,2025.11.20,₹ 292.00,PAYTM MALL INDIA-INC,,INR
B1335,11/12/25,"₹ 1,512.00",SPOTIFY_LTD,UISITKEUXT,INR
B1336,10/22/25,₹ 816.00,NETFLIX POS-TRANS,0LHTQUOF7A,INR
B1337,10/05/25,"₹ 2,482.00",INDIGO-INC,03QTK7WRBF,INR
B1338,11/25/25,"₹ 15,008.00",BIGBASKET_LTD,F5H0RW6ESH,INR
B1339,11/10/25,"₹ 2,491.00",INDIGO INDIA-INC,CU3WIHQSI1,INR
B1340,16-Nov-2025,"₹ 5,000.00",BOOKMYSHOW/ONLINE,,INR
B1341,11/22/25,"₹ 4,990.00",OLA POS-TRANS,V38JXR5W30,INR
B1342,10/11/25,₹ 189.00,AMAZONINDIA_LTD,K1VJEOVA8D,INR
B1343,11/08/25,"₹ 4,997.00",APPLESTORE CORP,HP2UA70A74,INR
B1344,14-Nov-2025,"₹ 25,009.00",RELIANCE MART-INC,E5Q2JXRT2N,INR
B1345,2025.11.11,"₹ 4,983.00",MAKEMYTRIP-INC,M5VIF66QR4,INR
B1346,2025.11.29,₹ 498.00,UBER-INC,Z10N0HTOAK,INR
B1347,2025.11.07,"₹ 1,493.00",UBER INDIA POS-TRANS,T6HBKD4SCG,INR
B1348,11/27/25,₹ 795.00,APPLE STORE-INC,UKF4KQASXJ,INR
B1349,24-Oct-2025,"₹ 10,003.00",ZOMATO/ONLINE,IBI3ESOJUB,INR
B1350,30/11/2025,"₹ 10,012.00",IRCTC POS-TRANS,9HCL7KLB6D,INR
B1351,01/12/2025,₹ 799.00,ZOMATO-INC,VTROOTBJZ9,INR
B1352,13/11/2025,"₹ 1,012.00",SWIGGY/ONLINE,3C7VV17LXK,INR
B1353,10/05/25,"₹ 1,012.00",DMART POS-TRANS,RMBHRQYQZE,INR
B1354,04/10/2025,₹ 284.00,DMART-INC,1OM2SZ18V3,INR
B1355,2025.10.03,₹ 217.00,BIGBASKET_LTD,VA2BP1J861,INR
B1356,03-Nov-2025,"₹ 1,013.00",NETFLIX-INC,OBUMAQKW5Z,INR
B1357,10/22/25,₹ 983.00,NETFLIX *0912,G4K49XX4EJ,INR
B1358,26/11/2025,"₹ 1,009.00",MAKEMYTRIP-INC,7HI5KVTGAV,INR
B1359,2025.10.20,"₹ 1,018.00",ZOMATO POS-TRANS,QYHYK121QW,INR
B1360,2025.11.14,₹ 819.00,NETFLIX-INC,AAKUMNX5RA,INR
B1361,10/02/25,"₹ 9,974.00",GOOGLEPLAY *0912,,INR
B1362,10/14/25,₹ 300.00,BOOKMYSHOW-INC,RCWHTPKWHF,INR
B1363,25/11/2025,"₹ 5,019.00",MYNTRA-INC,5RQRJGE9VA,INR
B1364,06-Oct-2025,"₹ 9,994.00",NETFLIX-INC,FECK4I3LFH,INR
B1365,28-Oct-2025,₹ 521.00,FLIPKART POS-TRANS,DROVPWBVYP,INR
B1366,25-Nov-2025,"₹ 5,011.00",DMART_LTD,XXCV0JD38Q,INR
B1367,18-Oct-2025,"₹ 5,019.00",MYNTRA *0912,Z1K5UZJBIQ,INR
B1368,2025.11.24,"₹ 1,010.00",INDIGO INDIA *0912,XFIC6PE2UW,INR
B1369,11/10/25,"₹ 14,976.00",APPLE STORE CORP,21Q2QL1FGK,INR
B1370,11/08/25,₹ 514.00,MAKEMYTRIP POS-TRANS,CA53ZW3ZC2,INR
B1371,10/16/25,"₹ 5,025.00",AMAZON INDIA INDIA_LTD,8AL3DA8THM,INR
B1372,26/10/2025,"₹ 10,000.00",MYNTRA/ONLINE,9YYCKYK3JD,INR
B1373,12-Oct-2025,"₹ 1,516.00",INDIGO INDIA POS-TRANS,CMT7VY6WZE,INR
B1374,11/11/2025,₹ 318.00,DMART_LTD,48ZDUNOMBZ,INR
B1375,01-Nov-2025,₹ 984.00,UBER-INC,WV5EPG5OYP,INR
B1376,10-Oct-2025,"₹ 25,018.00",DMART POS-TRANS,AZLO6CURJY,INR
B1377,11/14/25,₹ 493.00,BOOKMYSHOW INDIA-INC,3Q9F4L5375,INR
B1378,11/10/2025,"₹ 24,987.00",OLA POS-TRANS,TEKZEOWEIF,INR
B1379,05/11/2025,"₹ 25,007.00",FLIPKART POS-TRANS,WJCIU1BDSU,INR
B1380,29/10/2025,"₹ 1,517.00",IRCTC INDIA POS-TRANS,OMMLS30ZGP,INR
B1381,2025.11.21,"₹ 1,017.00",AMAZON-INC,11T8VK6FVS,INR
B1382,09/11/2025,₹ 506.00,SPOTIFY-INC,FTPMLZ8EGK,INR
B1383,2025.11.22,₹ 985.00,BIGBASKET *0912,XFOJI57DBB,INR
B1384,10/14/25,"₹ 14,992.00",BIGBASKET POS-TRANS,VMSAGHKGA4,INR
B1385,15-Nov-2025,₹ 780.00,RELIANCE MART-INC,DPQPP22LTP,INR
B1386,10-Nov-2025,₹ 301.00,BOOKMYSHOW *0912,M2TU1FN2LX,INR
B1387,2025.10.16,₹ 508.00,AMAZONINDIA *0912,R467JLB3VG,INR
B1388,02/11/2025,₹ 289.00,BIGBASKET_LTD,QOJBN1OV1F,INR
B1389,01-Oct-2025,"₹ 14,981.00",PAYTM MALL INDIA *0912,UYGF42AC7M,INR
B1390,11/30/25,"₹ 4,998.00",ZOMATO POS-TRANS,JQ3UIJSA64,INR
B1391,01/12/2025,"₹ 24,989.00",INDIGO POS-TRANS,,INR
B1392,16/10/2025,₹ 221.00,PAYTM MALL POS-TRANS,LCPTJ0LPVA,INR
B1393,23-Oct-2025,"₹ 5,000.00",SPOTIFY_LTD,BLL8LA0N0F,INR
B1394,09-Nov-2025,₹ 220.00,IRCTC INDIA *0912,IRHHV3P1U9,INR
B1395,14-Nov-2025,"₹ 10,000.00",MAKEMYTRIP INDIA *0912,AWUICWN02T,INR
B1396,09-Nov-2025,"₹ 9,987.00",GOOGLE.PLAY *0912,,INR
B1397,2025.10.26,"₹ 25,022.00",AMAZON.INDIA-INC,5UNDUI9CHA,INR
B1398,30-Sep-2025,₹ 799.00,SWIGGY_LTD,T43J6G6WMV,INR
B1399,2025.10.10,"₹ 10,011.00",OLA *0912,60GISMFUA0,INR
B1400,10/17/25,₹ 499.00,INDIGO_LTD,VNGVTFIG6M,INR
B1401,09-Oct-2025,"₹ 4,982.00",SWIGGY INDIA_LTD,,INR
B1402,26/11/2025,"₹ 9,998.00",AMAZON.INDIA POS-TRANS,9VHGFVIO17,INR
B1403,2025.10.14,"₹ 1,510.00",OLA_LTD,6YR81RR4PD,INR
B1404,18-Nov-2025,"₹ 9,993.00",ZOMATO *0912,FI3O732U9R,INR
B1405,29/10/2025,"₹ 4,997.00",APPLE STORE INDIA POS-TRANS,,INR
B1406,2025.11.21,"₹ 15,020.00",SWIGGY/ONLINE,4V5XCY4U9B,INR
B1407,10/15/25,"₹ 1,500.00",AMAZON.INDIA_LTD,9X6A7E7YSX,INR
B1408,11-Nov-2025,₹ 487.00,MYNTRA/ONLINE,7KQAKUMMQN,INR
B1409,11/09/25,"₹ 2,503.00",IRCTC-INC,6DUGRU2WB9,INR
B1410,25/11/2025,"₹ 14,985.00",SWIGGY INDIA-INC,APGXWPKDHI,INR
B1411,16/11/2025,₹ 814.00,SPOTIFY_LTD,64X2NIVEF2,INR
B1412,10/26/25,"₹ 25,026.00",GOOGLE/ONLINE,DUJTZ3XQHD,INR
B1413,10/30/25,₹ 274.00,INDIGO INDIA-INC,OX35WRZ3K9,INR
B1414,11/22/25,"₹ 10,000.00",SPOTIFY *0912,W0GVWIV2ZC,INR
B1415,11/12/25,₹ 307.00,NETFLIX *0912,L93W1UBT51,INR
B1416,10/26/25,"₹ 5,023.00",APPLE STORE/ONLINE,,INR
B1417,2025.11.01,"₹ 15,001.00",BIGBASKET *0912,1BGYTPAG1W,INR
B1418,11/14/25,"₹ 2,494.00",IRCTC POS-TRANS,KYDBYSC7HW,INR
B1419,10/26/25,"₹ 10,017.00",MAKEMYTRIP INDIA *0912,BEGJMJPPDC,INR
B1420,2025.10.06,"₹ 24,971.00",MYNTRA_LTD,ZRXQTUCLXS,INR
B1421,25/11/2025,₹ 204.00,APPLE_LTD,386I0XOO8K,INR
B1422,20-Nov-2025,"₹ 14,974.00",IRCTC-INC,TKMAM8WV0Y,INR
B1423,09/11/2025,"₹ 5,013.00",PAYTM MALL INDIA POS-TRANS,E0UJSX75IZ,INR
B1424,10/03/25,"₹ 2,504.00",PAYTM/ONLINE,86EVFRPLTC,INR
B1425,23/10/2025,"₹ 1,011.00",GOOGLE PLAY CORP,JN9DP0P1MM,INR
B1426,2025.11.11,₹ 995.00,IRCTC/ONLINE,R9LGYL71TK,INR
B1427,2025.10.15,"₹ 1,484.00",BIGBASKET INDIA POS-TRANS,4MGHASOM40,INR
B1428,11/19/25,₹ 211.00,BIGBASKET-INC,15XMZ6C0WS,INR
B1429,2025.11.29,"₹ 14,985.00",AIR INDIA INDIA-INC,SJ2NEPP5T2,INR
B1430,21-Oct-2025,"₹ 24,988.00",AIR INDIA INDIA POS-TRANS,KMY4Z2UNAK,INR
B1431,05/11/2025,₹ 476.00,PAYTM MALL CORP,W3LEENAAEQ,INR
B1432,2025.10.01,"₹ 1,493.00",MAKEMYTRIP CORP,4YGVLZ4LWW,INR
B1433,10-Nov-2025,₹ 278.00,ZOMATO INDIA POS-TRANS,Q9OQKRQKT8,INR
B1434,2025.10.21,"₹ 1,007.00",MAKEMYTRIP_LTD,4JCLNPE9MR,INR
B1435,27-Oct-2025,₹ 201.00,BOOKMYSHOW CORP,NI2WNPTC4I,INR
B1436,11/08/25,₹ 199.00,IRCTC *0912,AK25L85OWM,INR
B1437,19/10/2025,₹ 811.00,MAKEMYTRIP INDIA *0912,NZIY8VCD95,INR
B1438,2025.10.12,₹ 189.00,DMART POS-TRANS,5Q2IF0BOSJ,INR
B1439,28-Oct-2025,₹ 290.00,PAYTM MALL INDIA *0912,IDPGZ3GRSR,INR
B1440,11/12/25,"₹ 9,992.00",GOOGLE PLAY/ONLINE,PTIDS071BZ,INR
B1441,10-Nov-2025,₹ 176.00,APPLE STORE INDIA CORP,SNAQPMB9HH,INR
B1442,11/20/25,"₹ 4,997.00",AMAZON CORP,,INR
B1443,2025.11.30,"₹ 9,988.00",IRCTC *0912,K1CNH8ZII1,INR
B1444,03/10/2025,₹ 498.00,APPLE.STORE_LTD,,INR
B1445,10/02/25,"₹ 15,000.00",UBER_LTD,,INR
B1446,11/10/2025,₹ 794.00,ZOMATO POS-TRANS,ZD66II6U46,INR
B1447,11/06/25,"₹ 14,998.00",AMAZON.INDIA_LTD,9LHJYK7MVE,INR
B1448,2025.10.20,"₹ 15,011.00",APPLE STORE *0912,Z6EDY4CQA7,INR
B1449,16/10/2025,₹ 515.00,FLIPKART_LTD,MYLQO5JUH4,INR
B1450,12-Oct-2025,"₹ 25,013.00",MAKEMYTRIP-INC,V55K75VXLQ,INR
B1451,2025.11.14,"₹ 1,011.00",MYNTRA INDIA_LTD,BTGKHMQ5CN,INR
B1452,29/11/2025,₹ 821.00,OLA/ONLINE,N03OBGNNDK,INR
B1453,31/10/2025,"₹ 2,487.00",RELIANCE_LTD,PTLVR995DR,INR
B1454,09/11/2025,"₹ 25,020.00",UBER CORP,YYC8FU8IWE,INR
B1455,2025.11.13,₹ 988.00,NETFLIX INDIA CORP,25KDB8MT9I,INR
B1456,17/11/2025,₹ 199.00,MYNTRA/ONLINE,DZY8NM8JWV,INR
B1457,10/23/25,₹ 518.00,IRCTC_LTD,FQFMCT93L1,INR
B1458,10/18/25,"₹ 4,975.00",DMART_LTD,,INR
B1459,25/11/2025,₹ 492.00,MAKEMYTRIP/ONLINE,,INR
B1460,10/27/25,"₹ 1,480.00",AIR *0912,CR2XZZSOTU,INR
B1461,06-Oct-2025,"₹ 1,490.00",MYNTRA INDIA CORP,62NTWBL8BU,INR
B1462,08/11/2025,₹ 793.00,FLIPKART *0912,SSTYRGXKIZ,INR
B1463,20-Nov-2025,"₹ 25,006.00",UBER INDIA_LTD,Q3NTNDMAGI,INR
B1464,10/27/25,"₹ 5,004.00",DMART INDIA *0912,1N6EST52C7,INR
B1465,2025.10.21,"₹ 10,016.00",PAYTM_LTD,00H34PDXB3,INR
B1466,2025.10.16,"₹ 2,481.00",MYNTRA POS-TRANS,,INR
B1467,04/10/2025,₹ 182.00,SPOTIFY-INC,VKC7HKCL0Q,INR
B1468,01-Dec-2025,"₹ 15,006.00",AIR INDIA_LTD,,INR
B1469,16-Oct-2025,"₹ 25,012.00",OLA-INC,RDT9QYZ2R4,INR
B1470,14-Oct-2025,₹ 217.00,MYNTRA CORP,U7I41G5ZPN,INR
